ietf                          	       392
last-call                     	       375
ipv6                          	       239
spring                        	       215
dmarc-report                  	       196
idr                           	       186
tls                           	       177
wgchairs                      	       175
bess                          	       169
dnsop                         	       168
gen-art                       	       168
secdir                        	       159
cfrg                          	       150
lsr                           	       150
opsawg                        	       148
oauth                         	       141
quic                          	       140
tsvwg                         	       139
httpbisa                      	       133
architecture-discuss          	       127
v6ops                         	       119
netmod                        	       111
rfc-interest                  	       108
tools-discuss                 	       107
dispatch                      	       106
mpls                          	       104
add                           	       103
int-area                      	       101
manycouches                   	       100
teas                          	       100
ippm                          	        99
dns-privacy                   	        91
ntp                           	        91
pce                           	        91
saag                          	        90
108attendees                  	        90
tcpm                          	        85
netconf                       	        84
dmarc                         	        82
core                          	        81
rtg-dir                       	        80
txauth                        	        79
rtgwg                         	        77
spasm                         	        75
detnet                        	        73
sidrops                       	        71
bier                          	        70
anima                         	        68
icnrg                         	        68
regext                        	        68
tsv-art                       	        67
emu                           	        65
ccamp                         	        63
pim                           	        63
dhcwg                         	        62
107attendees                  	        61
rfced-future                  	        60
acme                          	        59
avt                           	        59
cbor                          	        58
captive-portals               	        57
nmrg                          	        57
ietf-smtp                     	        56
ietf108planning               	        55
6lo                           	        54
ace                           	        54
ipsec                         	        54
sfc                           	        54
iot-directorate               	        53
gendispatch                   	        53
yang-doctors                  	        53
cose                          	        52
lake                          	        52
nfsv4                         	        52
mmusic                        	        52
pearg                         	        51
iccrg                         	        50
masque                        	        50
rats                          	        50
mls                           	        49
dots                          	        49
ietf-and-github               	        49
openpgp                       	        48
dtn                           	        46
secdispatch                   	        46
lp-wan                        	        45
roll                          	        45
t2trg                         	        45
hackathon                     	        44
grow                          	        43
109attendees                  	        43
sipcore                       	        43
art                           	        43
mboned                        	        42
uta                           	        42
lwip                          	        41
model-t                       	        41
raw                           	        41
tm-rid                        	        41
suit                          	        40
tlp-interest                  	        39
webdav                        	        39
alto                          	        38
qirg                          	        38
webtransport                  	        38
cellar                        	        37
