quic-issues                   	     16612	12.49%
dmarc-report                  	     11714	8.81%
i-d-announce                  	      6301	4.74%
ietf                          	      5603	4.21%
ipv6                          	      4644	3.49%
last-call                     	      2781	2.09%
dmarc                         	      2195	1.65%
lsr                           	      2104	1.58%
spring                        	      1894	1.42%
tls                           	      1855	1.40%
quic                          	      1843	1.39%
idr                           	      1786	1.34%
dnsop                         	      1770	1.33%
tsvwg                         	      1745	1.31%
oauth                         	      1728	1.30%
txauth                        	      1680	1.26%
v6ops                         	      1533	1.15%
rfced-future                  	      1316	0.99%
ietf-announce                 	      1314	0.99%
netmod                        	      1221	0.92%
wgchairs                      	      1201	0.90%
add                           	      1189	0.89%
ntp                           	      1170	0.88%
httpbisa                      	      1120	0.84%
bess                          	      1005	0.76%
regext                        	       953	0.72%
tools-discuss                 	       928	0.70%
tcpm                          	       924	0.69%
core                          	       923	0.69%
opsawg                        	       905	0.68%
spasm                         	       874	0.66%
rats                          	       872	0.66%
gen-art                       	       852	0.64%
tm-rid                        	       839	0.63%
cfrg                          	       824	0.62%
architecture-discuss          	       813	0.61%
detnet                        	       810	0.61%
teas                          	       807	0.61%
sidrops                       	       786	0.59%
ippm                          	       785	0.59%
secdir                        	       752	0.57%
roll                          	       744	0.56%
teas-ns-dt                    	       741	0.56%
anima                         	       731	0.55%
dns-privacy                   	       731	0.55%
netconf                       	       710	0.53%
rfc-interest                  	       705	0.53%
mpls                          	       681	0.51%
manycouches                   	       675	0.51%
cbor                          	       658	0.49%
ace                           	       637	0.48%
bier                          	       632	0.48%
emu                           	       616	0.46%
nfsv4                         	       610	0.46%
eligibility-discuss           	       596	0.45%
ccamp                         	       584	0.44%
dots                          	       582	0.44%
ietf-smtp                     	       564	0.42%
dispatch                      	       563	0.42%
pce                           	       560	0.42%
srcomp                        	       552	0.42%
dhcwg                         	       546	0.41%
cose                          	       539	0.41%
mls                           	       488	0.37%
ipp                           	       481	0.36%
alto                          	       478	0.36%
ipsec                         	       477	0.36%
dtn                           	       442	0.33%
xml2rfc                       	       435	0.33%
avt                           	       429	0.32%
int-area                      	       414	0.31%
netmod-ver-dt                 	       412	0.31%
lp-wan                        	       411	0.31%
sipcore                       	       401	0.30%
6lo                           	       380	0.29%
masque                        	       380	0.29%
mmusic                        	       372	0.28%
icnrg                         	       363	0.27%
rtgwg                         	       360	0.27%
saag                          	       354	0.27%
sfc                           	       349	0.26%
calsify                       	       347	0.26%
pim                           	       341	0.26%
babel                         	       335	0.25%
captive-portals               	       334	0.25%
yang-doctors                  	       327	0.25%
