Martin Thomson                                    	      6577	7.42%
Jana Iyengar                                      	      2024	2.28%
Michael Richardson                                	      1629	1.84%
Mike Bishop                                       	      1492	1.68%
Carsten Bormann                                   	      1253	1.41%
Benjamin Kaduk                                    	      1089	1.23%
Brian E. Carpenter                                	      1043	1.18%
John R. Levine                                    	       950	1.07%
Lars Eggert                                       	       818	0.92%
Rich Salz                                         	       774	0.87%
Fernando Gont                                     	       764	0.86%
Kazuho Oku                                        	       717	0.81%
Toerless Eckert                                   	       699	0.79%
Lucas Pardue                                      	       644	0.73%
Gyan Mishra                                       	       640	0.72%
Eric Rescorla                                     	       605	0.68%
RFC Editor                                        	       589	0.66%
Russ Housley                                      	       565	0.64%
Pascal Thubert                                    	       552	0.62%
Dr. John C. Klensin                               	       546	0.62%
Magnus Westerlund                                 	       527	0.59%
Dick Hardt                                        	       522	0.59%
Alexandre Petrescu                                	       519	0.59%
Stephen Farrell                                   	       514	0.58%
Joel M. Halpern                                   	       504	0.57%
Éric Vyncke                                       	       501	0.57%
Ted Lemon                                         	       501	0.57%
Robert Wilton                                     	       484	0.55%
Barry Leiba                                       	       479	0.54%
Mohamed Boucadair                                 	       474	0.53%
Christian Huitema                                 	       471	0.53%
Robert Raszuk                                     	       439	0.50%
Ron Bonica                                        	       437	0.49%
Robert Moskowitz                                  	       431	0.49%
Mirja Kühlewind                                   	       430	0.49%
Greg Mirsky                                       	       430	0.49%
Justin Richer                                     	       411	0.46%
David Schinazi                                    	       409	0.46%
Eliot Lear                                        	       409	0.46%
Keith Moore                                       	       397	0.45%
Martin Duke                                       	       394	0.44%
Dr. Joseph D. Touch                               	       389	0.44%
Gorry Fairhurst                                   	       388	0.44%
Dave Crocker                                      	       383	0.43%
Jay Daley                                         	       381	0.43%
Mark Nottingham                                   	       378	0.43%
Spencer Dawkins                                   	       377	0.43%
Julian Reschke                                    	       371	0.42%
Marten Seemann                                    	       368	0.42%
Alissa Cooper                                     	       363	0.41%
Roman Danyliw                                     	       361	0.41%
Adrian Farrel                                     	       361	0.41%
Murray Kucherawy                                  	       353	0.40%
Jim Schaad                                        	       343	0.39%
Robert Sparks                                     	       325	0.37%
Acee Lindem                                       	       324	0.37%
Alvaro Retana                                     	       317	0.36%
Kent Watsen                                       	       314	0.35%
Alessandro Vesely                                 	       310	0.35%
Warren "Ace" Kumari                               	       292	0.33%
Alexey Melnikov                                   	       289	0.33%
Henrik Levkowetz                                  	       282	0.32%
Bob Hinden                                        	       269	0.30%
Fred Templin                                      	       268	0.30%
Lou Berger                                        	       264	0.30%
Christer Holmberg                                 	       260	0.29%
Rob Sayre                                         	       260	0.29%
Randy Bush                                        	       259	0.29%
Daniel Migault                                    	       259	0.29%
S Moonesamy                                       	       251	0.28%
Michael Thomas                                    	       250	0.28%
Christopher A. Wood                               	       249	0.28%
Tom Herbert                                       	       248	0.28%
Laurence Lundblade                                	       244	0.28%
Jie Dong                                          	       243	0.27%
Sean Turner                                       	       240	0.27%
Nicolás Williams                                  	       239	0.27%
Susan Hares                                       	       238	0.27%
Peter Psenak                                      	       237	0.27%
Ole Trøan                                         	       236	0.27%
Mike Jones                                        	       234	0.26%
Michael StJohns                                   	       233	0.26%
Tim McSweeney                                     	       232	0.26%
Phillip Hallam-Baker                              	       231	0.26%
Ketan Talaulikar                                  	       231	0.26%
Eduard V                                          	       229	0.26%
Erik Kline                                        	       225	0.25%
Sebastian Moeller                                 	       223	0.25%
Qin Wu                                            	       222	0.25%
Jeff Tantsura                                     	       219	0.25%
Hannes Tschofenig                                 	       216	0.24%
Paul Wouters                                      	       211	0.24%
Stewart Bryant                                    	       210	0.24%
Khaled Omar Ibrahim Omar                          	       207	0.23%
Linda Dunbar                                      	       203	0.23%
Joe Clarke                                        	       202	0.23%
Tirumaleswar Reddy.K                              	       200	0.23%
Mark Smith                                        	       198	0.22%
Henk Birkholz                                     	       195	0.22%
Reshad Rahman                                     	       195	0.22%
Bron Gondwana                                     	       193	0.22%
Les Ginsberg                                      	       193	0.22%
Pete Resnick                                      	       192	0.22%
Christian Hopps                                   	       189	0.21%
John Scudder                                      	       185	0.21%
Bob Briscoe                                       	       182	0.21%
Benjamin M. Schwartz                              	       181	0.20%
Aijun Wang                                        	       180	0.20%
Jordi Palet Martinez                              	       178	0.20%
Paul Kyzivat                                      	       178	0.20%
Denis PINKAS                                      	       175	0.20%
Fabien Imbault                                    	       173	0.20%
Tim Wicinski                                      	       172	0.19%
Eric Gray                                         	       172	0.19%
Brian Campbell                                    	       170	0.19%
Jürgen Schönwälder                                	       169	0.19%
Adam Roach                                        	       168	0.19%
Paul A. Vixie                                     	       166	0.19%
Richard Barnes                                    	       165	0.19%
Jari Arkko                                        	       164	0.19%
Paul E. Hoffman                                   	       163	0.18%
Torsten Lodderstedt                               	       163	0.18%
Dmitri Tikhonov                                   	       158	0.18%
Scott Hollenbeck                                  	       156	0.18%
Dhruv Dhody                                       	       156	0.18%
Nick Hilliard                                     	       154	0.17%
Watson Ladd                                       	       153	0.17%
Chuck Lever                                       	       153	0.17%
Vittorio Bertola                                  	       151	0.17%
Loa Andersson                                     	       151	0.17%
Jonathan Morton                                   	       149	0.17%
Hugh Petch                                        	       148	0.17%
Tony Przygienda                                   	       145	0.16%
Douglas Foster                                    	       144	0.16%
Francesca Palombini                               	       143	0.16%
David Noveck                                      	       141	0.16%
Donald E. Eastlake 3rd                            	       140	0.16%
Fred Baker                                        	       140	0.16%
Larry M Masinter                                  	       140	0.16%
Stuart W. Card                                    	       139	0.16%
Andy Bierman                                      	       139	0.16%
Tony Li                                           	       138	0.16%
Darren Dukes                                      	       138	0.16%
Bruno Decraene                                    	       137	0.15%
Jaehoon (Paul) Jeong                              	       136	0.15%
Dr. Bernard D. Aboba                              	       135	0.15%
Cheng Li                                          	       134	0.15%
Hector Santos                                     	       132	0.15%
Thomas Fossati                                    	       131	0.15%
Behcet Sarikaya                                   	       130	0.15%
Bernie Volz                                       	       128	0.14%
Ulrich Windl                                      	       128	0.14%
Rifaat Shekh-Yusef                                	       127	0.14%
Ian Swett                                         	       127	0.14%
Gunnar Hellstrom                                  	       126	0.14%
Mario Loffredo                                    	       126	0.14%
Mohit Sethi                                       	       125	0.14%
Valery Smyslov                                    	       125	0.14%
Zhaohui (Jeffrey) Zhang                           	       124	0.14%
Jingrong Xie                                      	       124	0.14%
Yaron Sheffer                                     	       123	0.14%
Joseph A. Salowey                                 	       123	0.14%
Jason Sterne                                      	       122	0.14%
Huaimo Chen                                       	       121	0.14%
David L. Black                                    	       120	0.14%
Brian Dickson                                     	       120	0.14%
Barbara Stark                                     	       118	0.13%
Stéphane Bortzmeyer                               	       116	0.13%
Balazs Varga                                      	       116	0.13%
Ines Robles                                       	       115	0.13%
Colin Perkins                                     	       114	0.13%
Ben Campbell                                      	       114	0.13%
Tianran Zhou                                      	       114	0.13%
Vijay K. Gurbani                                  	       113	0.13%
Weiqiang Cheng                                    	       113	0.13%
Mahesh Jethanandani                               	       112	0.13%
Tal Mizrahi                                       	       112	0.13%
Ted Hardie                                        	       111	0.13%
Martin Björklund                                  	       111	0.13%
Pablo Camarillo                                   	       110	0.12%
Tero Kivinen                                      	       109	0.12%
Miroslav Lichvar                                  	       109	0.12%
Mark P. Andrews                                   	       108	0.12%
Marco Tiloca                                      	       108	0.12%
Michael Hammer                                    	       108	0.12%
Yoav Nir                                          	       107	0.12%
Viktor Dukhovni                                   	       107	0.12%
Nancy Cam-Winget                                  	       106	0.12%
Brian Rosen                                       	       105	0.12%
Neil Madden                                       	       105	0.12%
Tony Finch                                        	       104	0.12%
Andrew G. Malis                                   	       103	0.12%
Al Morton                                         	       103	0.12%
Nick Banks                                        	       103	0.12%
Portia Wenze-Danley                               	       102	0.12%
Wim Henderickx                                    	       102	0.12%
Jen Linkova                                       	       102	0.12%
Job Snijders                                      	       101	0.11%
Annabelle Backman                                 	       101	0.11%
S.J.M. Steffann                                   	       101	0.11%
Rahul Jadhav                                      	       100	0.11%
John Preuß Mattsson                               	        99	0.11%
Glenn Deen                                        	        98	0.11%
