Dr. Thomas Narten                                 	        24
Theodore Ts'o                                     	        15
Dr. Craig Partridge                               	         7
John T. Wroclawski                                	         6
Nadim Kobeissi                                    	         6
Narelle Clark                                     	         5
Sara Marcolla                                     	         5
Stan O. Barber                                    	         2
Ben Ramsey                                        	         2
Jonne Soininen                                    	         2
Farni Boten                                       	         1
Arleen Elliott                                    	         1
John Dickinson                                    	         1
Benjamin Damm                                     	         1
Michael Breuer                                    	         1
Yuefeng Qiu                                       	         1
Michael F. Speer                                  	         1
Robert Elz                                        	         1
Dirk-Willem van Gulik                             	         1
Harish Pillay                                     	         1
Alejandro Acosta                                  	         1
Juan P. Cerezo                                    	         1
Daniel Karrenberg                                 	         1
Brad Biddle                                       	         1
Steve Todd                                        	         1
Gene F. Hastings II                               	         1
Dave Burstein                                     	         1
Dorian R. Kim                                     	         1
Wendy Seltzer                                     	         1
Andrew Gray                                       	         1
Antonio Diaz Diaz                                 	         1
Mans Nilsson                                      	         1
