quic-issues                   	     12884	13.06%
ietf                          	      5356	5.43%
ipv6                          	      4247	4.31%
last-call                     	      2736	2.77%
dmarc                         	      2008	2.04%
lsr                           	      1927	1.95%
spring                        	      1783	1.81%
tsvwg                         	      1649	1.67%
quic                          	      1611	1.63%
dnsop                         	      1601	1.62%
idr                           	      1594	1.62%
tls                           	      1574	1.60%
txauth                        	      1509	1.53%
oauth                         	      1433	1.45%
v6ops                         	      1380	1.40%
rfced-future                  	      1293	1.31%
wgchairs                      	      1177	1.19%
add                           	      1117	1.13%
netmod                        	      1058	1.07%
ntp                           	       924	0.94%
tools-discuss                 	       916	0.93%
httpbisa                      	       914	0.93%
bess                          	       876	0.89%
gen-art                       	       847	0.86%
tcpm                          	       836	0.85%
core                          	       817	0.83%
rats                          	       812	0.82%
regext                        	       804	0.82%
opsawg                        	       797	0.81%
spasm                         	       790	0.80%
tm-rid                        	       765	0.78%
teas-ns-dt                    	       731	0.74%
detnet                        	       725	0.74%
architecture-discuss          	       722	0.73%
sidrops                       	       719	0.73%
secdir                        	       712	0.72%
ippm                          	       704	0.71%
anima                         	       678	0.69%
manycouches                   	       664	0.67%
rfc-interest                  	       664	0.67%
dns-privacy                   	       663	0.67%
roll                          	       646	0.66%
teas                          	       644	0.65%
cfrg                          	       642	0.65%
eligibility-discuss           	       593	0.60%
netconf                       	       592	0.60%
bier                          	       567	0.57%
emu                           	       560	0.57%
srcomp                        	       552	0.56%
mpls                          	       548	0.56%
ace                           	       548	0.56%
cbor                          	       546	0.55%
nfsv4                         	       522	0.53%
ietf-smtp                     	       515	0.52%
dispatch                      	       514	0.52%
dots                          	       512	0.52%
cose                          	       475	0.48%
dhcwg                         	       467	0.47%
pce                           	       452	0.46%
ipsec                         	       449	0.46%
xml2rfc                       	       435	0.44%
alto                          	       431	0.44%
int-area                      	       390	0.40%
netmod-ver-dt                 	       389	0.39%
dtn                           	       380	0.39%
mls                           	       369	0.37%
avt                           	       357	0.36%
masque                        	       352	0.36%
lp-wan                        	       348	0.35%
mmusic                        	       341	0.35%
ccamp                         	       332	0.34%
ietf-announce                 	       324	0.33%
yang-doctors                  	       319	0.32%
6lo                           	       316	0.32%
saag                          	       315	0.32%
sipcore                       	       311	0.32%
babel                         	       308	0.31%
tsv-art                       	       307	0.31%
icnrg                         	       304	0.31%
sfc                           	       303	0.31%
gendispatch                   	       301	0.31%
captive-portals               	       299	0.30%
ietf-and-github               	       288	0.29%
calsify                       	       278	0.28%
rtgwg                         	       276	0.28%
i2nsf                         	       271	0.27%
pim                           	       271	0.27%
i18ndir                       	       256	0.26%
emailcore                     	       245	0.25%
qirg                          	       242	0.25%
suit                          	       237	0.24%
acme                          	       236	0.24%
rtg-dir                       	       233	0.24%
lake                          	       230	0.23%
lisp                          	       227	0.23%
108attendees                  	       226	0.23%
extra                         	       225	0.23%
iot-directorate               	       217	0.22%
nmrg                          	       216	0.22%
webtransport                  	       205	0.21%
tools-implementation          	       200	0.20%
jsonpath                      	       195	0.20%
rfc-dist                      	       192	0.19%
pearg                         	       190	0.19%
teep                          	       188	0.19%
id-event                      	       184	0.19%
raw                           	       179	0.18%
cellar                        	       175	0.18%
model-t                       	       173	0.18%
mboned                        	       173	0.18%
its                           	       173	0.18%
secdispatch                   	       168	0.17%
sacm                          	       168	0.17%
tls-reg-review                	       160	0.16%
rift                          	       159	0.16%
taps                          	       157	0.16%
asdf                          	       157	0.16%
jmap                          	       157	0.16%
wpack                         	       155	0.16%
kitten                        	       154	0.16%
